P_bar,z_m,Kz_cm2_s,LHF,qt,qc,ndz_cm3,rg_cm,reff_cm,rw_cm
5.90000e+00,2.18457e+05,3.00288e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.10000e+00,2.13540e+05,3.00816e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.30000e+00,2.08884e+05,3.01335e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.50000e+00,2.04639e+05,3.01841e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.70000e+00,2.00513e+05,3.45025e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.90000e+00,1.96498e+05,3.00315e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7.10000e+00,1.92672e+05,3.00945e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7.30000e+00,1.89023e+05,3.01505e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7.50000e+00,1.85538e+05,3.02067e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7.70000e+00,1.82205e+05,3.02615e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7.90000e+00,1.79008e+05,3.03150e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
8.09999e+00,1.75952e+05,3.03688e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
8.29999e+00,1.73020e+05,3.04184e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
8.49999e+00,1.70202e+05,3.04685e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
8.69999e+00,1.67492e+05,3.05173e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
8.89999e+00,1.64886e+05,3.05652e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
