Pressure (bar),Altitude (m),Kz (cm2/s),LHF,qt,qc,ndz,rg (µm),reff (µm),rw (µm)
20.499989999999997,92488.3699757245,96479144138.44029,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
20.69999,91866.4114938781,96543777717.0823,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
20.899990000000003,91254.52491202866,96608185831.42616,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
21.09999,90652.45427836585,96671064574.6809,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
21.29999,90059.95179174643,96734284493.64215,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
21.499989999999997,89476.77879848803,96796515128.31195,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
21.69999,88902.70193693585,96858829440.9555,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
21.899990000000003,88337.49971861993,96919029188.71326,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
22.09999,87780.95592650498,96980647303.80153,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
22.29999,87232.86068675683,97040631228.11713,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
22.499989999999997,86693.0122093806,97100035268.99307,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
22.69999,86161.2157697622,97159089810.83487,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
22.899990000000003,85637.28209327009,97218023977.50923,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
23.09999,85121.02776531108,97276207890.71059,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
23.29999,84612.27691553225,97333850415.53127,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
23.499989999999997,84110.8551622194,97392028428.07684,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
23.69999,83616.59775215475,97447467136.2811,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
23.899990000000003,83126.58748048921,97504721210.52258,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
24.099985,82647.58581031518,97565351030.8358,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
24.299979999999998,82175.25583461454,97615795268.93428,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
24.49998,81708.09052329691,97670887089.46022,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
24.69998,81247.3295085014,97725918666.05832,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
24.89998,80792.83567364053,97779255954.328,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
25.099980000000002,80344.474465023,97833788554.06279,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
25.299979999999998,79902.11495522696,97886956103.08551,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
25.49998,79465.63089233165,97939829459.616,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
25.69998,79034.89876449118,97992570864.54712,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
25.89998,78609.8005873749,98044405376.12228,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
26.099980000000002,78190.21853046353,98097360227.20724,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
