pressure_bar,pressure_cgs,temperature_K,altitude_cm,qc,qt,rg_cm,reff_cm,rw_cm,ndz_cm^-2,kz_cm2_s
1.4987e-07,0.14987,111.31150965511473,290940.10648335074,2.813214769962392e-07,6.8691633141668265e-06,0.0002477099954647669,0.0008233581017382416,0.0001331228738379699,0.31553145583880593,17552999164.732136
1.6815999999999997e-07,0.16815999999999998,112.31726094974265,294024.32425948326,6.114474632677426e-07,8.524621181412282e-06,0.00026745627502757337,0.0008889923496688523,0.00014373519228516043,0.6112095773640732,25419237235.08997
1.8868000000000002e-07,0.18868000000000001,113.51726095353101,297761.1796732552,1.0071562775859062e-06,1.099274922331349e-05,0.00028877131558927954,0.000959840969654622,0.0001551907256561885,0.8974853175221732,24548870475.472713
2.117e-07,0.2117,114.92300748891108,302118.83084384224,2.036855484730094e-06,1.526411652668077e-05,0.00031177563050737095,0.001036304533537907,0.00016755428057731682,1.617658725180386,31638599248.98144
2.3753e-07,0.23753000000000002,116.57445461613268,307221.1766899722,3.4356694266949243e-06,2.193981348456238e-05,0.0003366076314958056,0.0011188431051358699,0.00018090029227194236,2.4336222245902612,32492023426.016308
2.66515e-07,0.266515,118.48020492487835,311943.6253669947,5.721052628774302e-06,3.295267097042838e-05,0.00036341159852480736,0.0012079362536406193,0.0001953063638562299,3.612791706538319,38839142757.18147
2.99035e-07,0.299035,120.3744516809022,317872.9558865904,8.543863171078155e-06,4.775225814105011e-05,0.0003923451629936,0.0013041079267814173,0.00021085730938451855,4.81076794379011,30416740725.57867
3.3552000000000003e-07,0.33552000000000004,122.53739096981943,326035.5467147178,1.8023850392506067e-05,7.715546896981158e-05,0.0004235400543131556,0.0014077959772075186,0.00022762401489113092,9.050218052280385,45036762809.793274
3.7646e-07,0.37646,125.54891000254703,333924.3818096515,1.1313047336221875e-05,0.00011705545530730038,0.00045728032721011904,0.0015199445685166867,0.00024575921143034726,5.065857086718561,57124786040.05675
4.2239500000000004e-07,0.422395,128.69170584360663,340580.30278798676,0.0,0.000134,0.0,0.0,0.0,0.0,47297162465.17203
4.73935e-07,0.473935,131.33452377983443,350250.06660420285,0.0,0.000134,0.0,0.0,0.0,0.0,37915443248.33769
5.31765e-07,0.531765,134.76328182515434,363551.2621828785,0.0,0.000134,0.0,0.0,0.0,0.0,67484236819.82043
5.966499999999999e-07,0.5966499999999999,139.72911219351656,376035.85842367867,0.0,0.000134,0.0,0.0,0.0,0.0,82154183824.6196
6.694549999999999e-07,0.6694549999999999,144.71472545197395,672381.8269825769,0.0,0.000134,0.0,0.0,0.0,0.0,65449406910.80918
7.995999999999999e-07,0.7996,152.50441168676363,545541.5374256365,0.0,0.000134,0.0,0.0,0.0,0.0,73936967878.68521
9.456249999999999e-07,0.9456249999999999,161.35761791264085,621828.9908732936,0.0,0.000134,0.0,0.0,0.0,0.0,100806342484.45743
1.1e-06,1.1,170.2342696931546,658758.6628747352,0.0,0.000134,0.0,0.0,0.0,0.0,82274407213.82808
1.2999999999999998e-06,1.2999999999999998,179.62803094240198,593438.300012631,0.0,0.000134,0.0,0.0,0.0,0.0,83162757560.58128
1.5e-06,1.5,188.0432943578417,542007.1125687374,0.0,0.000134,0.0,0.0,0.0,0.0,83846115789.33542
1.7000000000000002e-06,1.7000000000000002,195.68815574268544,500268.5624273268,0.0,0.000134,0.0,0.0,0.0,0.0,84394927933.41484
1.8999999999999998e-06,1.9,202.7094972813036,465595.89317923447,0.0,0.000134,0.0,0.0,0.0,0.0,84860408584.30913
2.1000000000000002e-06,2.1,209.21491603438946,436252.6531248683,0.0,0.000134,0.0,0.0,0.0,0.0,85260049840.33391
2.3e-06,2.3,215.28554287308418,411040.63615683187,0.0,0.000134,0.0,0.0,0.0,0.0,85615110631.58801
2.5e-06,2.5,220.98436346935043,389103.63829977566,0.0,0.000134,0.0,0.0,0.0,0.0,85936032673.86662
2.7e-06,2.7,226.36121080721688,369812.0208133168,0.0,0.000134,0.0,0.0,0.0,0.0,86230860084.19879
2.8999999999999998e-06,2.9,231.45623780283265,352691.47369136004,0.0,0.000134,0.0,0.0,0.0,0.0,86504795306.19142
3.1e-06,3.1,236.30230299426276,337377.2394912536,0.0,0.000134,0.0,0.0,0.0,0.0,86762266756.14137
3.2999999999999997e-06,3.3,240.926647292124,323583.8200985031,0.0,0.000134,0.0,0.0,0.0,0.0,87005535479.89127
3.5e-06,3.5,245.352123642344,311084.25671789394,0.0,0.000134,0.0,0.0,0.0,0.0,87237477254.60031
3.7e-06,3.7,249.59810889883937,299695.6167350536,0.0,0.000134,0.0,0.0,0.0,0.0,87459352459.36816
3.9e-06,3.9,253.6811478800076,289268.77635052835,0.0,0.000134,0.0,0.0,0.0,0.0,87671564764.60365
4.1e-06,4.1,257.61555184969836,279680.5750404304,0.0,0.000134,0.0,0.0,0.0,0.0,87877954363.50165
4.3e-06,4.300000000000001,261.4136340506197,270828.89118009043,0.0,0.000134,0.0,0.0,0.0,0.0,88070794588.32323
4.5e-06,4.5,265.0863708752141,262627.72899247566,0.0,0.000134,0.0,0.0,0.0,0.0,88269446433.23547
4.699999999999999e-06,4.699999999999999,268.64343816136204,255004.2167773082,0.0,0.000134,0.0,0.0,0.0,0.0,88456231308.0668
4.9000000000000005e-06,4.9,272.093169418408,247896.29721225036,0.0,0.000134,0.0,0.0,0.0,0.0,88638077978.72903
5.0999999999999995e-06,5.1,275.4430916258807,241250.70796302723,0.0,0.000134,0.0,0.0,0.0,0.0,88814985147.52756
5.300000000000001e-06,5.300000000000001,278.6999309465151,235021.45168999434,0.0,0.000134,0.0,0.0,0.0,0.0,88987604553.85086
